,Unnamed: 0,date_publish,price_sell,price_per_area,building_age,num_bedrooms,area,id_city,id_neighbourhood,id_sub_neighbourhood,id_location,floor,parking,elevator,storeHouse,toiletF,balcony,is_luxury,is_modern,janitor,master_room,roofGarden,pool,sauna,jacuzzi,alachiq,fountain,security,pasio,idFacing,gym
122,399,2026-04-11,44.5,0.34765625,3.0,3.0,128.0,641,163.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,402,2026-04-09,26.5,0.2284482758620689,20.0,3.0,116.0,641,257.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,405,2026-04-09,19.0,0.19,3.0,1.0,100.0,641,118.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,411,2026-04-09,12.55,0.1459302325581395,1.0,2.0,86.0,641,256.0,0.0,0.0,5.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,412,2026-04-09,5.5,0.0916666666666666,20.0,1.0,60.0,641,117.0,0.0,0.0,2.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,414,2026-04-11,12.5,0.1470588235294117,18.0,2.0,85.0,641,52.0,0.0,0.0,3.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,418,2026-04-20,0.35,0.0034999999999999,1.0,2.0,100.0,641,373.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,425,2026-06-17,120.0,0.5,0.0,3.0,240.0,641,673.0,0.0,0.0,6.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,430,2026-06-16,85.0,0.4722222222222222,0.0,3.0,180.0,641,156.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,432,2026-05-13,26.0,0.2363636363636363,15.0,2.0,110.0,641,196.0,0.0,0.0,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,434,2026-05-13,24.5,0.245,1.0,2.0,100.0,641,1470.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,452,2026-06-16,32.5,0.3186274509803921,0.0,2.0,102.0,641,239.0,0.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,453,2026-06-16,12.0,0.2068965517241379,9.0,1.0,58.0,641,257.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,454,2026-06-16,250.0,0.8333333333333334,7.0,3.0,300.0,641,83.0,0.0,0.0,5.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,456,2026-06-17,34.0,0.34,0.0,2.0,100.0,641,239.0,0.0,0.0,5.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,461,2026-06-17,14.2,0.2491228070175438,13.0,1.0,57.0,641,212.0,0.0,0.0,5.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,462,2026-06-17,47.0,0.3671875,5.0,2.0,128.0,641,277.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,463,2026-06-17,16.2,0.324,12.0,1.0,50.0,641,111.0,0.0,0.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,466,2026-06-17,50.5,0.3389261744966443,10.0,3.0,149.0,641,1433.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
